@relation isTarget
@attribute article string
@attribute class {positive, negative}
@data
'ne annovero un paio fra gli amici di cui sopra d',positive
'o da si io ',positive
'benvenuta ',positive
'non dirlo a me io compro ormai solo libri inglesi e americani in lingua originale da quando c ',positive
'fatto',positive
'ciao alex grazie a te continua a seguirci su twitter buona serata ',positive
' hahaahaaha okay po ',positive
'ciao ci cono o ci coppetta ',positive
'sicuramente da non perdere ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
'sei sicura di frequentare la gente giusta ',positive
'musica romantica d',positive
' adepto di san indeciso da so una sega',positive
'non si riferisce al segno zodiacale ma a quelli che stanno in acqua ',positive
'appena accoltellato uno davanti a me e la giornata prosegue alla grande ',positive
'infatti ',positive
' ma la vastita del ca che ce ne frega d',positive
'da interista spero che la fiorentina vinca al pi presto lo scudetto magari con l inter seconda ',positive
'maresia sente a maresia maconha nbafinals basquete',positive
'che bello essere la ruota di scorta delle persone ',positive
' buon compleanno ciao d b',positive
'ecco a voi la programmazione estiva di quest anno d',positive
'ovviamente cuore ',positive
'grazie resta in attesa di un mio riscontro in privato ',positive
'no non ho detto che tu imponi ho detto che dev essere lui a chiarirsi le idee ',positive
'i primi approcci d come erano carini agli inizi m j ',positive
'peccato che porta via caratteri e se ce lo scrivessimo nel nick d',positive
'sei sicura di frequentare la gente giusta ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
' grazie a te buona serata ',positive
' si luca ma non bisogna approfittarne bellissimo sai non lo metto in dubbio ',positive
' merci amandio ',positive
'pax tibi marce a bergamo se lo ricordano pi che a venezia inlombardia ',positive
'per i protagonisti sono boh spero siano customizzabili d',positive
'mi sa che siamo in due ',positive
' pardon documentario tratto da un libro ',positive
'oddio gia ',positive
'stefano hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto omaggio ',positive
'ah ok vuoi dire che banalissima sfiga ',positive
'la serie di fotografie melting pot project continua d andreasaluti photo bollywood',positive
'vivo io ho gi avuto un attacco d ansia basta ',positive
'arianna hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto ',positive
' anche io a intervalli infatti adesso esco c da fare grazie luca ',positive
'ma lo avete capito che fenomeno incredibile dario rossi venerd agosto indievisibilefestival ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'stesso brand altro ufficio at s p a in roma ',positive
'finalmente tornato disponibile jamesfranco nel nostro bookshop d un libro che racchiude le sue ',positive
'salve corradina email vista e inoltrata ai responsabili locali del servizio al pi presto ti risponderemo ',positive
'vuoi vincere un romanzo ',positive
'grazie ',positive
' e io mica sono bersani manco parente ',positive
'maho gua sini be mine g',positive
'noi quando si pu venire incontro alla ggente l sempre un piacere p',positive
'ci provo anche io d',positive
'tette italiane tettetettoneformoseretwett se ti piace ',positive
'stefanopioli e la sua ennesima dichiarazione d amore ora solo la d',positive
'appunto quindi prenditi cura di te potrei offrirtele anche io ma siamo un distanti ',positive
'sottoscrivo ',positive
'l antipasto perfetto per l estate grazie ad arte in cucina',positive
'idem fin da piccolo ',positive
'anche cristina giancarlo e bach stanno coi fochi e ci fanno avere questo bel ritratto di famiglie d',positive
'ricominciamo passate parola stay tuned oggi pomeriggio alle ore andr in onda in diretta su ',positive
' l errore sta a monte averlo cacciato dopo di ritiro non ci ha messi in una posizione ',positive
' bello vederti ',positive
'chiss d',positive
'direi che tu sei un addetto ai lavori e sei consapevole dell instabilit di una beta io critico i ge ',positive
'per ora due o tre ma c un fan di seko che sta a f un papiro ',positive
'cominciano a completarsi le date un consiglio un accelerata sulla tastiera ',positive
' scemo chi vota d',positive
' beh io i libri li leggo e basta al massimo li presento in libreria o li commento da lettrice ',positive
'un grazie speciale a i nostri lettori volontari che hanno animato le letture al parco unicef e al parco kennedy nelle scorse settimane ',positive
'immenso maestro d',positive
't shirt phil subito disponibile per info su come acquistarla inviatemi un messaggio privato d',positive
' lo penso anch io anche perch berlu delinquente condannato decis ',positive
'c vasta scelta e si vendono ovunque prenditi cura di te o cerchi di svenire apposta cosi arriva il pr ',positive
' eh bersani no si infervora quando gli tocchi andreatta ',positive
'buona sega ',positive
' su quello siamo d accordo ',positive
' rosa russo iervolino ',positive
' ma le conosco ',positive
'ciao ti ho inviato un dm potresti aiutarmi ',positive
'il bastone e la carota ahhahahhaha ',positive
'anche in versione lego doctorwho una ficata d',positive
'molt guapo d',positive
's s ricordavo questo tuo disappunto quindi non ti hanno convinta ',positive
'hai ragione dopotutto la cosa pi umana e naturale che c ',positive
'andreas magari stavi ballando sul palco cn elisa ieri sera te lo auguro se ti piace qlla musica ',positive
'lo dici a una che decathlon euro e centesimi il pezzo sopra e idem per il pezzo sotto non potrei notare la differenza d',positive
'ah ok hahahahahaahaha ',positive
'be in senso giuridico tutto cc diciamo che mi piacerebbe avere un dump come quelli di wikipedia',positive
'non me la ricordo ',positive
'ci vediamo questa sera abbiamo molte cose da dirvi ',positive
'vediamo un p ',positive
'sei un vero disney lovers dimostralo completando la frase ',positive
'avete presenti gli spagnoli ecco lasciate perdere ',positive
'stasera il magico duo ale bianchi e linda messerklinger in arte linda klee o viceversa debutteranno dai nostri ',positive
'non capisco se prendono per il culo oppure sono seri d',positive
'gianna ',positive
'ne annovero un paio fra gli amici di cui sopra d',positive
'o da si io ',positive
'benvenuta ',positive
'non dirlo a me io compro ormai solo libri inglesi e americani in lingua originale da quando c ',positive
'fatto',positive
'ciao alex grazie a te continua a seguirci su twitter buona serata ',positive
' hahaahaaha okay po ',positive
'ciao ci cono o ci coppetta ',positive
'sicuramente da non perdere ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
'sei sicura di frequentare la gente giusta ',positive
'musica romantica d',positive
' adepto di san indeciso da so una sega',positive
'non si riferisce al segno zodiacale ma a quelli che stanno in acqua ',positive
'appena accoltellato uno davanti a me e la giornata prosegue alla grande ',positive
'infatti ',positive
' ma la vastita del ca che ce ne frega d',positive
'da interista spero che la fiorentina vinca al pi presto lo scudetto magari con l inter seconda ',positive
'maresia sente a maresia maconha nbafinals basquete',positive
'che bello essere la ruota di scorta delle persone ',positive
' buon compleanno ciao d b',positive
'ecco a voi la programmazione estiva di quest anno d',positive
'ovviamente cuore ',positive
'grazie resta in attesa di un mio riscontro in privato ',positive
'no non ho detto che tu imponi ho detto che dev essere lui a chiarirsi le idee ',positive
'i primi approcci d come erano carini agli inizi m j ',positive
'peccato che porta via caratteri e se ce lo scrivessimo nel nick d',positive
'sei sicura di frequentare la gente giusta ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
' grazie a te buona serata ',positive
' si luca ma non bisogna approfittarne bellissimo sai non lo metto in dubbio ',positive
' merci amandio ',positive
'pax tibi marce a bergamo se lo ricordano pi che a venezia inlombardia ',positive
'per i protagonisti sono boh spero siano customizzabili d',positive
'mi sa che siamo in due ',positive
' pardon documentario tratto da un libro ',positive
'oddio gia ',positive
'stefano hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto omaggio ',positive
'ah ok vuoi dire che banalissima sfiga ',positive
'la serie di fotografie melting pot project continua d andreasaluti photo bollywood',positive
'vivo io ho gi avuto un attacco d ansia basta ',positive
'arianna hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto ',positive
' anche io a intervalli infatti adesso esco c da fare grazie luca ',positive
'ma lo avete capito che fenomeno incredibile dario rossi venerd agosto indievisibilefestival ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'stesso brand altro ufficio at s p a in roma ',positive
'finalmente tornato disponibile jamesfranco nel nostro bookshop d un libro che racchiude le sue ',positive
'salve corradina email vista e inoltrata ai responsabili locali del servizio al pi presto ti risponderemo ',positive
'vuoi vincere un romanzo ',positive
'grazie ',positive
' e io mica sono bersani manco parente ',positive
'maho gua sini be mine g',positive
'noi quando si pu venire incontro alla ggente l sempre un piacere p',positive
'ci provo anche io d',positive
'tette italiane tettetettoneformoseretwett se ti piace ',positive
'stefanopioli e la sua ennesima dichiarazione d amore ora solo la d',positive
'appunto quindi prenditi cura di te potrei offrirtele anche io ma siamo un distanti ',positive
'sottoscrivo ',positive
'l antipasto perfetto per l estate grazie ad arte in cucina',positive
'idem fin da piccolo ',positive
'anche cristina giancarlo e bach stanno coi fochi e ci fanno avere questo bel ritratto di famiglie d',positive
'ricominciamo passate parola stay tuned oggi pomeriggio alle ore andr in onda in diretta su ',positive
' l errore sta a monte averlo cacciato dopo di ritiro non ci ha messi in una posizione ',positive
' bello vederti ',positive
'chiss d',positive
'direi che tu sei un addetto ai lavori e sei consapevole dell instabilit di una beta io critico i ge ',positive
'per ora due o tre ma c un fan di seko che sta a f un papiro ',positive
'cominciano a completarsi le date un consiglio un accelerata sulla tastiera ',positive
' scemo chi vota d',positive
' beh io i libri li leggo e basta al massimo li presento in libreria o li commento da lettrice ',positive
'un grazie speciale a i nostri lettori volontari che hanno animato le letture al parco unicef e al parco kennedy nelle scorse settimane ',positive
'immenso maestro d',positive
't shirt phil subito disponibile per info su come acquistarla inviatemi un messaggio privato d',positive
' lo penso anch io anche perch berlu delinquente condannato decis ',positive
'c vasta scelta e si vendono ovunque prenditi cura di te o cerchi di svenire apposta cosi arriva il pr ',positive
' eh bersani no si infervora quando gli tocchi andreatta ',positive
'buona sega ',positive
' su quello siamo d accordo ',positive
' rosa russo iervolino ',positive
' ma le conosco ',positive
'ciao ti ho inviato un dm potresti aiutarmi ',positive
'il bastone e la carota ahhahahhaha ',positive
'anche in versione lego doctorwho una ficata d',positive
'molt guapo d',positive
's s ricordavo questo tuo disappunto quindi non ti hanno convinta ',positive
'hai ragione dopotutto la cosa pi umana e naturale che c ',positive
'andreas magari stavi ballando sul palco cn elisa ieri sera te lo auguro se ti piace qlla musica ',positive
'lo dici a una che decathlon euro e centesimi il pezzo sopra e idem per il pezzo sotto non potrei notare la differenza d',positive
'ah ok hahahahahaahaha ',positive
'be in senso giuridico tutto cc diciamo che mi piacerebbe avere un dump come quelli di wikipedia',positive
'non me la ricordo ',positive
'ci vediamo questa sera abbiamo molte cose da dirvi ',positive
'vediamo un p ',positive
'sei un vero disney lovers dimostralo completando la frase ',positive
'avete presenti gli spagnoli ecco lasciate perdere ',positive
'stasera il magico duo ale bianchi e linda messerklinger in arte linda klee o viceversa debutteranno dai nostri ',positive
'non capisco se prendono per il culo oppure sono seri d',positive
'gianna ',positive
'ne annovero un paio fra gli amici di cui sopra d',positive
'o da si io ',positive
'benvenuta ',positive
'non dirlo a me io compro ormai solo libri inglesi e americani in lingua originale da quando c ',positive
'fatto',positive
'ciao alex grazie a te continua a seguirci su twitter buona serata ',positive
' hahaahaaha okay po ',positive
'ciao ci cono o ci coppetta ',positive
'sicuramente da non perdere ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
'sei sicura di frequentare la gente giusta ',positive
'musica romantica d',positive
' adepto di san indeciso da so una sega',positive
'non si riferisce al segno zodiacale ma a quelli che stanno in acqua ',positive
'appena accoltellato uno davanti a me e la giornata prosegue alla grande ',positive
'infatti ',positive
' ma la vastita del ca che ce ne frega d',positive
'da interista spero che la fiorentina vinca al pi presto lo scudetto magari con l inter seconda ',positive
'maresia sente a maresia maconha nbafinals basquete',positive
'che bello essere la ruota di scorta delle persone ',positive
' buon compleanno ciao d b',positive
'ecco a voi la programmazione estiva di quest anno d',positive
'ovviamente cuore ',positive
'grazie resta in attesa di un mio riscontro in privato ',positive
'no non ho detto che tu imponi ho detto che dev essere lui a chiarirsi le idee ',positive
'i primi approcci d come erano carini agli inizi m j ',positive
'peccato che porta via caratteri e se ce lo scrivessimo nel nick d',positive
'sei sicura di frequentare la gente giusta ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
' grazie a te buona serata ',positive
' si luca ma non bisogna approfittarne bellissimo sai non lo metto in dubbio ',positive
' merci amandio ',positive
'pax tibi marce a bergamo se lo ricordano pi che a venezia inlombardia ',positive
'per i protagonisti sono boh spero siano customizzabili d',positive
'mi sa che siamo in due ',positive
' pardon documentario tratto da un libro ',positive
'oddio gia ',positive
'stefano hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto omaggio ',positive
'ah ok vuoi dire che banalissima sfiga ',positive
'la serie di fotografie melting pot project continua d andreasaluti photo bollywood',positive
'vivo io ho gi avuto un attacco d ansia basta ',positive
'arianna hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto ',positive
' anche io a intervalli infatti adesso esco c da fare grazie luca ',positive
'ma lo avete capito che fenomeno incredibile dario rossi venerd agosto indievisibilefestival ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'stesso brand altro ufficio at s p a in roma ',positive
'finalmente tornato disponibile jamesfranco nel nostro bookshop d un libro che racchiude le sue ',positive
'salve corradina email vista e inoltrata ai responsabili locali del servizio al pi presto ti risponderemo ',positive
'vuoi vincere un romanzo ',positive
'grazie ',positive
' e io mica sono bersani manco parente ',positive
'maho gua sini be mine g',positive
'noi quando si pu venire incontro alla ggente l sempre un piacere p',positive
'ci provo anche io d',positive
'tette italiane tettetettoneformoseretwett se ti piace ',positive
'stefanopioli e la sua ennesima dichiarazione d amore ora solo la d',positive
'appunto quindi prenditi cura di te potrei offrirtele anche io ma siamo un distanti ',positive
'sottoscrivo ',positive
'l antipasto perfetto per l estate grazie ad arte in cucina',positive
'idem fin da piccolo ',positive
'anche cristina giancarlo e bach stanno coi fochi e ci fanno avere questo bel ritratto di famiglie d',positive
'ricominciamo passate parola stay tuned oggi pomeriggio alle ore andr in onda in diretta su ',positive
' l errore sta a monte averlo cacciato dopo di ritiro non ci ha messi in una posizione ',positive
' bello vederti ',positive
'chiss d',positive
'direi che tu sei un addetto ai lavori e sei consapevole dell instabilit di una beta io critico i ge ',positive
'per ora due o tre ma c un fan di seko che sta a f un papiro ',positive
'cominciano a completarsi le date un consiglio un accelerata sulla tastiera ',positive
' scemo chi vota d',positive
' beh io i libri li leggo e basta al massimo li presento in libreria o li commento da lettrice ',positive
'un grazie speciale a i nostri lettori volontari che hanno animato le letture al parco unicef e al parco kennedy nelle scorse settimane ',positive
'immenso maestro d',positive
't shirt phil subito disponibile per info su come acquistarla inviatemi un messaggio privato d',positive
' lo penso anch io anche perch berlu delinquente condannato decis ',positive
'c vasta scelta e si vendono ovunque prenditi cura di te o cerchi di svenire apposta cosi arriva il pr ',positive
' eh bersani no si infervora quando gli tocchi andreatta ',positive
'buona sega ',positive
' su quello siamo d accordo ',positive
' rosa russo iervolino ',positive
' ma le conosco ',positive
'ciao ti ho inviato un dm potresti aiutarmi ',positive
'il bastone e la carota ahhahahhaha ',positive
'anche in versione lego doctorwho una ficata d',positive
'molt guapo d',positive
's s ricordavo questo tuo disappunto quindi non ti hanno convinta ',positive
'hai ragione dopotutto la cosa pi umana e naturale che c ',positive
'andreas magari stavi ballando sul palco cn elisa ieri sera te lo auguro se ti piace qlla musica ',positive
'lo dici a una che decathlon euro e centesimi il pezzo sopra e idem per il pezzo sotto non potrei notare la differenza d',positive
'ah ok hahahahahaahaha ',positive
'be in senso giuridico tutto cc diciamo che mi piacerebbe avere un dump come quelli di wikipedia',positive
'non me la ricordo ',positive
'ci vediamo questa sera abbiamo molte cose da dirvi ',positive
'vediamo un p ',positive
'sei un vero disney lovers dimostralo completando la frase ',positive
'avete presenti gli spagnoli ecco lasciate perdere ',positive
'stasera il magico duo ale bianchi e linda messerklinger in arte linda klee o viceversa debutteranno dai nostri ',positive
'non capisco se prendono per il culo oppure sono seri d',positive
'gianna ',positive
'ne annovero un paio fra gli amici di cui sopra d',positive
'o da si io ',positive
'benvenuta ',positive
'non dirlo a me io compro ormai solo libri inglesi e americani in lingua originale da quando c ',positive
'fatto',positive
'ciao alex grazie a te continua a seguirci su twitter buona serata ',positive
' hahaahaaha okay po ',positive
'ciao ci cono o ci coppetta ',positive
'sicuramente da non perdere ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
'sei sicura di frequentare la gente giusta ',positive
'musica romantica d',positive
' adepto di san indeciso da so una sega',positive
'non si riferisce al segno zodiacale ma a quelli che stanno in acqua ',positive
'appena accoltellato uno davanti a me e la giornata prosegue alla grande ',positive
'infatti ',positive
' ma la vastita del ca che ce ne frega d',positive
'da interista spero che la fiorentina vinca al pi presto lo scudetto magari con l inter seconda ',positive
'maresia sente a maresia maconha nbafinals basquete',positive
'che bello essere la ruota di scorta delle persone ',positive
' buon compleanno ciao d b',positive
'ecco a voi la programmazione estiva di quest anno d',positive
'ovviamente cuore ',positive
'grazie resta in attesa di un mio riscontro in privato ',positive
'no non ho detto che tu imponi ho detto che dev essere lui a chiarirsi le idee ',positive
'i primi approcci d come erano carini agli inizi m j ',positive
'peccato che porta via caratteri e se ce lo scrivessimo nel nick d',positive
'sei sicura di frequentare la gente giusta ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
' grazie a te buona serata ',positive
' si luca ma non bisogna approfittarne bellissimo sai non lo metto in dubbio ',positive
' merci amandio ',positive
'pax tibi marce a bergamo se lo ricordano pi che a venezia inlombardia ',positive
'per i protagonisti sono boh spero siano customizzabili d',positive
'mi sa che siamo in due ',positive
' pardon documentario tratto da un libro ',positive
'oddio gia ',positive
'stefano hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto omaggio ',positive
'ah ok vuoi dire che banalissima sfiga ',positive
'la serie di fotografie melting pot project continua d andreasaluti photo bollywood',positive
'vivo io ho gi avuto un attacco d ansia basta ',positive
'arianna hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto ',positive
' anche io a intervalli infatti adesso esco c da fare grazie luca ',positive
'ma lo avete capito che fenomeno incredibile dario rossi venerd agosto indievisibilefestival ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'stesso brand altro ufficio at s p a in roma ',positive
'finalmente tornato disponibile jamesfranco nel nostro bookshop d un libro che racchiude le sue ',positive
'salve corradina email vista e inoltrata ai responsabili locali del servizio al pi presto ti risponderemo ',positive
'vuoi vincere un romanzo ',positive
'grazie ',positive
' e io mica sono bersani manco parente ',positive
'maho gua sini be mine g',positive
'noi quando si pu venire incontro alla ggente l sempre un piacere p',positive
'ci provo anche io d',positive
'tette italiane tettetettoneformoseretwett se ti piace ',positive
'stefanopioli e la sua ennesima dichiarazione d amore ora solo la d',positive
'appunto quindi prenditi cura di te potrei offrirtele anche io ma siamo un distanti ',positive
'sottoscrivo ',positive
'l antipasto perfetto per l estate grazie ad arte in cucina',positive
'idem fin da piccolo ',positive
'anche cristina giancarlo e bach stanno coi fochi e ci fanno avere questo bel ritratto di famiglie d',positive
'ricominciamo passate parola stay tuned oggi pomeriggio alle ore andr in onda in diretta su ',positive
' l errore sta a monte averlo cacciato dopo di ritiro non ci ha messi in una posizione ',positive
' bello vederti ',positive
'chiss d',positive
'direi che tu sei un addetto ai lavori e sei consapevole dell instabilit di una beta io critico i ge ',positive
'per ora due o tre ma c un fan di seko che sta a f un papiro ',positive
'cominciano a completarsi le date un consiglio un accelerata sulla tastiera ',positive
' scemo chi vota d',positive
' beh io i libri li leggo e basta al massimo li presento in libreria o li commento da lettrice ',positive
'un grazie speciale a i nostri lettori volontari che hanno animato le letture al parco unicef e al parco kennedy nelle scorse settimane ',positive
'immenso maestro d',positive
't shirt phil subito disponibile per info su come acquistarla inviatemi un messaggio privato d',positive
' lo penso anch io anche perch berlu delinquente condannato decis ',positive
'c vasta scelta e si vendono ovunque prenditi cura di te o cerchi di svenire apposta cosi arriva il pr ',positive
' eh bersani no si infervora quando gli tocchi andreatta ',positive
'buona sega ',positive
' su quello siamo d accordo ',positive
' rosa russo iervolino ',positive
' ma le conosco ',positive
'ciao ti ho inviato un dm potresti aiutarmi ',positive
'il bastone e la carota ahhahahhaha ',positive
'anche in versione lego doctorwho una ficata d',positive
'molt guapo d',positive
's s ricordavo questo tuo disappunto quindi non ti hanno convinta ',positive
'hai ragione dopotutto la cosa pi umana e naturale che c ',positive
'andreas magari stavi ballando sul palco cn elisa ieri sera te lo auguro se ti piace qlla musica ',positive
'lo dici a una che decathlon euro e centesimi il pezzo sopra e idem per il pezzo sotto non potrei notare la differenza d',positive
'ah ok hahahahahaahaha ',positive
'be in senso giuridico tutto cc diciamo che mi piacerebbe avere un dump come quelli di wikipedia',positive
'non me la ricordo ',positive
'ci vediamo questa sera abbiamo molte cose da dirvi ',positive
'vediamo un p ',positive
'sei un vero disney lovers dimostralo completando la frase ',positive
'avete presenti gli spagnoli ecco lasciate perdere ',positive
'stasera il magico duo ale bianchi e linda messerklinger in arte linda klee o viceversa debutteranno dai nostri ',positive
'non capisco se prendono per il culo oppure sono seri d',positive
'gianna ',positive
'ne annovero un paio fra gli amici di cui sopra d',positive
'o da si io ',positive
'benvenuta ',positive
'non dirlo a me io compro ormai solo libri inglesi e americani in lingua originale da quando c ',positive
'fatto',positive
'ciao alex grazie a te continua a seguirci su twitter buona serata ',positive
' hahaahaaha okay po ',positive
'ciao ci cono o ci coppetta ',positive
'sicuramente da non perdere ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
'sei sicura di frequentare la gente giusta ',positive
'musica romantica d',positive
' adepto di san indeciso da so una sega',positive
'non si riferisce al segno zodiacale ma a quelli che stanno in acqua ',positive
'appena accoltellato uno davanti a me e la giornata prosegue alla grande ',positive
'infatti ',positive
' ma la vastita del ca che ce ne frega d',positive
'da interista spero che la fiorentina vinca al pi presto lo scudetto magari con l inter seconda ',positive
'maresia sente a maresia maconha nbafinals basquete',positive
'che bello essere la ruota di scorta delle persone ',positive
' buon compleanno ciao d b',positive
'ecco a voi la programmazione estiva di quest anno d',positive
'ovviamente cuore ',positive
'grazie resta in attesa di un mio riscontro in privato ',positive
'no non ho detto che tu imponi ho detto che dev essere lui a chiarirsi le idee ',positive
'i primi approcci d come erano carini agli inizi m j ',positive
'peccato che porta via caratteri e se ce lo scrivessimo nel nick d',positive
'sei sicura di frequentare la gente giusta ',positive
'a noi importa solo che la regina elisabetta abbia approvato la relazione d ',positive
' grazie a te buona serata ',positive
' si luca ma non bisogna approfittarne bellissimo sai non lo metto in dubbio ',positive
' merci amandio ',positive
'pax tibi marce a bergamo se lo ricordano pi che a venezia inlombardia ',positive
'per i protagonisti sono boh spero siano customizzabili d',positive
'mi sa che siamo in due ',positive
' pardon documentario tratto da un libro ',positive
'oddio gia ',positive
'stefano hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto omaggio ',positive
'ah ok vuoi dire che banalissima sfiga ',positive
'la serie di fotografie melting pot project continua d andreasaluti photo bollywood',positive
'vivo io ho gi avuto un attacco d ansia basta ',positive
'arianna hai vinto inviaci un messaggio pvt per ricevere il tuo biglietto ',positive
' anche io a intervalli infatti adesso esco c da fare grazie luca ',positive
'ma lo avete capito che fenomeno incredibile dario rossi venerd agosto indievisibilefestival ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'dave devine hahaha ',positive
'stesso brand altro ufficio at s p a in roma ',positive
'finalmente tornato disponibile jamesfranco nel nostro bookshop d un libro che racchiude le sue ',positive
'salve corradina email vista e inoltrata ai responsabili locali del servizio al pi presto ti risponderemo ',positive
'vuoi vincere un romanzo ',positive
'grazie ',positive
' e io mica sono bersani manco parente ',positive
'maho gua sini be mine g',positive
'noi quando si pu venire incontro alla ggente l sempre un piacere p',positive
'ci provo anche io d',positive
'tette italiane tettetettoneformoseretwett se ti piace ',positive
'stefanopioli e la sua ennesima dichiarazione d amore ora solo la d',positive
'appunto quindi prenditi cura di te potrei offrirtele anche io ma siamo un distanti ',positive
'sottoscrivo ',positive
'l antipasto perfetto per l estate grazie ad arte in cucina',positive
'idem fin da piccolo ',positive
'anche cristina giancarlo e bach stanno coi fochi e ci fanno avere questo bel ritratto di famiglie d',positive
'ricominciamo passate parola stay tuned oggi pomeriggio alle ore andr in onda in diretta su ',positive
